X,Y,address,city,zip,state,addrtype,addrlocat
-91.4052021,39.9328764,"636 Hampshire St., Suite 201",Quincy,62301,IL,subpremise,ROOFTOP
-89.1823727,37.0119612,3014 Elm St.,Cairo,62914,IL,street_address,ROOFTOP
-88.8251751,42.253902,1204 Logan Ave,Belvidere,61008,IL,subpremise,ROOFTOP
-88.2468789,40.1338131,201 W. Kenyon St.,Champaign,61820,IL,premise,ROOFTOP
-87.6448924,41.9362971,615 West Wellington (at Broadway),Chicago,60613,IL,premise,ROOFTOP
-87.6541817,41.9551883,4025 N. Sheridan Road,Chicago,60613,IL,premise,ROOFTOP
-87.6771101,41.8746423,2020 West Harrison,Chicago,60612,IL,premise,ROOFTOP
-87.6413809,41.7795169,641 W. 63rd St.,Chicago,60621,IL,premise,ROOFTOP
-87.6677294,41.9724079,"2861 N. Clark St., Second Floor",Chicago,60657,IL,establishment,GEOMETRIC_CENTER
-87.6176974,41.685528,"200 E. 115th St., Level 1.5",Chicago,60628,IL,premise,ROOFTOP
-87.7492275,41.9019651,4909 W. Division St.,Chicago,60644,IL,premise,ROOFTOP
-87.6877703,41.9033647,2418 W. Division St.,Chicago,60622,IL,premise,ROOFTOP
-88.7723446,41.9536678,2550 N. Annie Glidden Road,Dekalb,60115,IL,street_address,RANGE_INTERPOLATED
-88.8820157,41.9384044,21193 Malta Road,Malta,60150,IL,street_address,ROOFTOP
-87.9906237,41.8711513,1111 East Jackson St,Lombard,60148,IL,premise,ROOFTOP
-88.1417199,41.8655035,111 N. County Farm Road,Wheaton,60187,IL,premise,ROOFTOP
-89.095195,38.9582995,416 W. Edwards Road,Vandalia,61471,IL,premise,ROOFTOP
-90.0248518,40.5488689,700 E. Oak St.,Canton,61520,IL,premise,ROOFTOP
-91.1330908,40.4127112,671 Wabash Ave.,Carthage,62321,IL,premise,ROOFTOP
-88.3442063,37.4509595,"Int. Rt. 34 & Stone Church Rd., Rt. 601 Box 98",Rosiclare,62982,IL,route,GEOMETRIC_CENTER
-89.9252138,41.213618,4424 U.S Highway 34,Kewanee,61443,IL,premise,ROOFTOP
-89.2780098,37.7620455,415 Health Department Road,Murphysboro,62966,IL,premise,ROOFTOP
-88.9339411,38.3122006,1 Doctors Park Road,Mount Vernon,62864,IL,premise,ROOFTOP
-88.8746543,37.4155802,513 1/2 E. Vine St.,Vienna,62995,IL,subpremise,RANGE_INTERPOLATED
-88.3143259,41.752719,"157 S. Lincoln St., Room K",Aurora,60505,IL,subpremise,ROOFTOP
-88.3190337,42.0334797,1665 Larkin Ave.,Elgin,60123,IL,premise,ROOFTOP
-87.8980781,41.117412,2390 W. Station St.,Kankakee,60901,IL,premise,ROOFTOP
-90.3925683,40.9629914,1361 W. Fremont St.,Galesburg,61401,IL,premise,ROOFTOP
-87.8627885,42.3502809,2400 Belvidere St.,Waukewan,60085,IL,street_address,RANGE_INTERPOLATED
-89.4819707,41.841293,"309 S. Galena Ave., Suite 100",Dixon,61021,IL,subpremise,ROOFTOP
-88.624738,40.866478,"310 E. Torrance, PO Box 650",Pontiac,61764,IL,establishment,ROOFTOP
-89.3688491,40.1445999,109 Third St.,Lincoln,62656,IL,premise,ROOFTOP
-88.9396656,39.8523614,1221 E. Condit Road,Decatur,62521,IL,premise,ROOFTOP
-90.0958518,38.8732704,101 E. Edwardsville Road,Wood River,62095,IL,premise,ROOFTOP
-89.130691,38.5395103,1013 N. Poplar St.,Centralia,62801,IL,street_address,RANGE_INTERPOLATED
-88.9591316,38.6244303,118 Cross Creek Blvd.,Salem,62881,IL,street_address,ROOFTOP
-88.716397,37.1558429,1230 Commercial Park Drive,Metropolis,62960,IL,street_address,ROOFTOP
-90.6657057,40.4583567,505 E. Jackson St.,Macomb,61455,IL,premise,ROOFTOP
-88.4408969,42.3404544,2200 N. Seminary Ave.,Woodstock,60098,IL,street_address,ROOFTOP
-88.9949991,40.4783857,200 W. Front St.,Bloomington,61701,IL,premise,ROOFTOP
-90.2331876,39.7338632,345 West State,Jacksonville,62650,IL,premise,ROOFTOP
-89.3323279,42.0147513,907 W. Pine Road,Oregon,61061,IL,locality,APPROXIMATE
-89.6030441,40.7137065,2116 N. Sheridan St.,Peoria,61064,IL,street_address,ROOFTOP
-89.0365338,37.2711468,37 Rustic Campus Drive,Ullin,62992,IL,establishment,GEOMETRIC_CENTER
-90.5709273,41.4852574,2112 25th Ave.,Rock Island,61201,IL,premise,ROOFTOP
-89.6123624,39.788914,2833 S. Grand Ave. East,Springfield,62703,IL,premise,ROOFTOP
-90.1323617,38.6192428,638 N. 20th St.,East St. Louis,62205,IL,street_address,ROOFTOP
-90.0886295,38.6226141,5540 Bunkum Road,Washington Park,62204,IL,street_address,ROOFTOP
-89.6224426,42.30132,10 W. Linden St.,Freeport,61032,IL,premise,ROOFTOP
-89.5088133,40.5319137,21306 Illinois Rt. 9,Tremont,61568,IL,street_address,RANGE_INTERPOLATED
-89.2193921,37.467142,260 Lick Creek Road,Anna,62906,IL,street_address,ROOFTOP
-87.7640715,38.4131737,130 West Seventh St,Mount Carmel,62863,IL,street_address,ROOFTOP
-90.6483188,40.910025,240 South Main St,Monmouth,61462,IL,street_address,ROOFTOP
-89.7066252,41.7790475,1300 W. Second St.,Rock Falls,61071,IL,premise,ROOFTOP
-88.0679355,41.5040107,1106 Neal Ave,Joliet,60433,IL,premise,ROOFTOP
-89.0054751,37.7464249,8160 Express Dr.,Marion,62959,IL,street_address,ROOFTOP
-89.0927723,42.2765001,555 N. Court St.,Rockford,61103,IL,premise,ROOFTOP
-89.2726689,40.7041933,1831 South Main St.,Eureka,61530,IL,street_address,RANGE_INTERPOLATED
